filename,width,height,class,xmin,ymin,xmax,ymax
00021adfb725ed.jpg,804,671,whale,6,67,767,657
000562241d384d.jpg,3504,2336,whale,86,558,3504,1498
0007c33415ce37.jpg,3599,2399,whale,0,430,3277,1653
0007d9bca26a99.jpg,3504,2336,whale,3,82,2282,1556
00087baf5cef7a.jpg,3599,2699,whale,996,1546,3545,1956
000a8f2d5c316a.jpg,3456,2304,whale,381,439,2109,1092
000be9acf46619.jpg,700,178,whale,35,23,687,130
000bef247c7a42.jpg,3600,2400,whale,40,1209,2802,1566
000c3d63069748.jpg,456,160,whale,40,51,451,157
000c476c11bad5.jpg,3504,2336,whale,1172,680,2298,1236
001001f099519f.jpg,3599,2399,whale,775,1020,2116,1391
00103cbe9d25ce.jpg,3599,2399,whale,536,504,2221,977
00144776eb476d.jpg,3504,2336,whale,1349,311,2021,845
00167e8375c967.jpg,400,159,whale,82,83,314,131
00177f3c614d1e.jpg,3504,2336,whale,553,1089,2156,1846
0017b3749cd769.jpg,3504,2336,whale,1455,990,2385,1387
0018064338b499.jpg,2251,354,whale,0,13,2225,309
001b0900f56e89.jpg,3599,2399,whale,1255,1128,3578,1540
001cfade605960.jpg,3600,483,whale,0,7,3537,407
001f1a1f22da96.jpg,3599,2409,whale,1643,855,2314,1054
0020004d64ae20.jpg,3599,2399,whale,605,948,3371,1632
00206a224e68de.jpg,1916,428,whale,56,11,1916,416
0022bdb8eb5684.jpg,900,268,whale,20,81,872,219
00234b893ea9e8.jpg,360,264,whale,0,62,332,251
0024057bbc89a4.jpg,3600,2391,whale,1951,1144,2278,1384
00243d4b15bafc.jpg,2240,1488,whale,906,391,1544,543
002618d6f63ebc.jpg,1912,770,whale,73,211,1912,574
0028f6fa123686.jpg,3504,2336,whale,1254,489,1945,1091
0029d877c29ab4.jpg,1129,728,whale,36,46,1129,686
002ac5f9ad7c10.jpg,3599,2399,whale,155,490,3504,1681
002e00960cec44.jpg,1620,1080,whale,8,151,1185,802
002fb5fee50b97.jpg,2591,864,whale,102,122,2576,669
0030835e895969.jpg,3599,2399,whale,1188,1002,1965,1299
0032f90c7732b0.jpg,784,594,whale,33,92,777,589
00354cd9244e28.jpg,2240,1488,whale,697,509,1667,696
0036b5c11b39f3.jpg,3600,2092,whale,24,334,3480,1969
0038d3be2513c0.jpg,2467,399,whale,57,15,2467,371
0039599b58fc80.jpg,3456,2304,whale,212,944,2035,1381
00398cfc6f6675.jpg,1057,266,whale,30,73,1057,254
0039955230421d.jpg,1269,388,whale,0,94,1226,364
003ab41b6147f4.jpg,1928,453,whale,73,47,1909,419
003e374b59c0e1.jpg,448,456,whale,22,67,440,429
003ffd805a5910.jpg,603,471,whale,8,9,576,459
00405189464f9d.jpg,1000,667,whale,75,194,985,397
004132b34ded14.jpg,3600,2400,whale,436,893,3220,1426
0042dfc65c7987.jpg,2148,872,whale,86,157,1975,628
0044ec4ae5ecfd.jpg,3504,2336,whale,545,700,2019,1311
0044fb81b4f1c7.jpg,1225,817,whale,239,262,947,583
0046ceef89b3fc.jpg,3599,2399,whale,1503,1124,2086,1266
004797c1c43563.jpg,1825,1094,whale,21,49,1757,1048
0049b56a584eb1.jpg,3599,2399,whale,855,931,2038,1453
004a0038d162d9.jpg,2240,1488,whale,737,636,1409,793
004a7fef39cf16.jpg,2099,1341,whale,429,510,1772,748
004a923b0b401e.jpg,3599,2409,whale,395,365,1947,838
004efe00a3e100.jpg,1840,404,whale,44,56,1840,401
005135ee15df6c.jpg,3456,2304,whale,172,260,3399,2289
005248b53efb3c.jpg,3599,2399,whale,150,885,3423,1590
0053d003390997.jpg,3599,2399,whale,518,697,2854,1092
00549928dca501.jpg,3599,2399,whale,561,777,2931,1426
005a9cc627a55d.jpg,3000,1500,whale,78,48,3000,1500
005b72434149fa.jpg,858,1085,whale,18,298,858,1080
005e317de9a658.jpg,1608,546,whale,4,119,1548,354
005e53b1b6aada.jpg,3599,2399,whale,1791,1133,2286,1275
005f85f23464f8.jpg,3599,2023,whale,1729,899,2752,1247
006033d6691cef.jpg,3412,496,whale,84,9,3412,477
006077a8e080fa.jpg,2743,1543,whale,7,285,2661,876
00621ef445e09f.jpg,3504,2336,whale,409,739,1945,1224
00647f8ff9f243.jpg,1370,913,whale,0,222,1310,671
00665aba3c163b.jpg,3599,2399,whale,2464,768,3054,997
0067205f90977d.jpg,308,282,whale,16,11,303,260
